external_gene_name	ensembl_gene_id	gene_biotype	chrom_HG37	chrom_start_HG37	chrom_end_HG37	HI	percentile	PLs
A1BG	ENSG00000121410	protein_coding	chr19	58856544	58864865	0.00221541	90.38%	0/255/0
A1CF	ENSG00000148584	protein_coding	chr10	52559169	52645435	0.301078858	27.59%	175/80/0
A2M	ENSG00000175899	protein_coding	chr12	9220260	9268825	0.10920489	49.36%	125/130/0
A2ML1	ENSG00000166535	protein_coding	chr12	8975068	9039597	0.011663794	79.48%	50/205/0
A3GALT2	ENSG00000184389	protein_coding	chr1	33772367	33786699	0.054156038	61.43%	75/180/0
A4GALT	ENSG00000128274	protein_coding	chr22	43088127	43117304	0.02220674	73.08%	50/205/0
A4GNT	ENSG00000118017	protein_coding	chr3	137842560	137851229	0.020635171	73.87%	50/205/0
AAAS	ENSG00000094914	protein_coding	chr12	53701240	53718648	0.160423573	41.47%	125/130/0
AAAS	ENSG00000291836	protein_coding	chr12	53701240	53718648	0.160423573	41.47%	125/130/0
AACS	ENSG00000081760	protein_coding	chr12	125549925	125627873	0.059537921	60.03%	75/180/0
AADAC	ENSG00000114771	protein_coding	chr3	151531825	151546276	0.00221398	90.39%	0/255/0
AADACL2	ENSG00000197953	protein_coding	chr3	151451704	151479127	0.001976057	91.06%	0/255/0
AADACL2	ENSG00000261846	protein_coding	chr3	151451704	151479127	0.001976057	91.06%	0/255/0
AADACL3	ENSG00000188984	protein_coding	chr1	12776118	12788726	0.001467435	92.94%	0/255/0
AADACL4	ENSG00000204518	protein_coding	chr1	12704566	12727097	0.000791222	96.7%	0/255/0
AADAT	ENSG00000109576	protein_coding	chr4	170981373	171012850	0.035304516	67.4%	75/180/0
AAGAB	ENSG00000103591	protein_coding	chr15	67493371	67547533	0.101167866	50.94%	100/155/0
AAK1	ENSG00000115977	protein_coding	chr2	69688532	69901481	0.297965723	27.81%	175/80/0
AAMDC	ENSG00000087884	protein_coding	chr11	77532155	77629478	0.466531332	17.33%	200/55/0
AAMP	ENSG00000127837	protein_coding	chr2	219128850	219134980	0.452965856	18.04%	200/55/0
