HOG	OG	Gene Tree Parent Clade	Aq	Ga	GaY	Gw	GwY	Pp
N0.HOG0000000	OG0000000	n5	ApeQuad_23677.1	rna-XM_040163927.1		g11565.t1, g13577.t1		rna-XM_062563118.1
N0.HOG0000001	OG0000000	n9		rna-XM_040163926.1				rna-XM_062562821.1
N0.HOG0000002	OG0000000	n10	ApeQuad_24324.1	rna-XM_040163005.1				
N0.HOG0000003	OG0000000	n11		rna-XM_040162660.1				rna-XM_037451198.2
N0.HOG0000004	OG0000000	n42		rna-XM_040177580.1		g17354.t1		
N0.HOG0000005	OG0000000	n50	ApeQuad_6780.1	rna-XM_040193041.1		g19102.t1, g449.t1, g448.t1		rna-XM_037463435.2
N0.HOG0000006	OG0000000	n55				g16778.t1		rna-XM_037464190.2
N0.HOG0000007	OG0000000	n56		rna-XM_040182126.1				rna-XM_037479448.2
N0.HOG0000008	OG0000000	n57	ApeQuad_1319.1, ApeQuad_7409.1	rna-XM_040162816.1		g11583.t1, g11587.t1, g11555.t1		
N0.HOG0000009	OG0000000	n62	ApeQuad_24342.1					rna-XM_037451197.2
N0.HOG0000010	OG0000000	n63	ApeQuad_24414.1	rna-XM_040161662.1		g11563.t1		rna-XM_037451200.2
N0.HOG0000011	OG0000000	n66	ApeQuad_24400.1		rna-XM_040168724.1			
N0.HOG0000012	OG0000000	n67	ApeQuad_24340.1			g10522.t1		rna-XM_037451379.2
N0.HOG0000013	OG0000000	n69	ApeQuad_24405.1			g11570.t1		
N0.HOG0000014	OG0000000	n70		rna-XM_040161664.1		g11590.t1		
N0.HOG0000015	OG0000000	n71	ApeQuad_24300.1	rna-XM_040183241.1		g11558.t1		rna-XM_037467430.2
N0.HOG0000016	OG0000000	n74		rna-XM_040162647.1		g10535.t1		
N0.HOG0000017	OG0000001	n1	ApeQuad_24288.1	rna-XM_040161670.1	rna-XM_040168729.1	g11574.t1		rna-XM_037451107.2
N0.HOG0000018	OG0000001	n18	ApeQuad_24360.1		rna-XM_040168344.1	g11554.t1		rna-XM_037450446.2
N0.HOG0000019	OG0000001	n38	ApeQuad_24323.1	rna-XM_040163358.1				rna-XM_037451211.2
N0.HOG0000020	OG0000001	n42		rna-XM_040163929.1		g10636.t1		rna-XM_037451465.2
N0.HOG0000021	OG0000001	n44		rna-XM_040163931.1		g10651.t1		rna-XM_037450445.2
N0.HOG0000022	OG0000001	n46	ApeQuad_24412.1, ApeQuad_24418.1					
N0.HOG0000023	OG0000001	n47	ApeQuad_24401.1, ApeQuad_24409.1, ApeQuad_24422.1, ApeQuad_24404.1	rna-XM_040163011.1, rna-XM_040162655.1	rna-XM_040168731.1			
N0.HOG0000024	OG0000001	n53		rna-XM_040161806.1		g11567.t1		rna-XM_037451214.2, rna-XM_062563120.1, rna-XM_037451212.2
N0.HOG0000025	OG0000001	n57	ApeQuad_24204.1		rna-XM_040168946.1	g11556.t1, g13574.t1		
N0.HOG0000026	OG0000001	n60	ApeQuad_24305.1	rna-XM_040163359.1				
N0.HOG0000027	OG0000001	n61		rna-XM_040163337.1	rna-XM_040168336.1			rna-XM_037451219.2
