ChrGa	Start	End	GeneGa	GeneGw	ChrGw	Start	End	NCBI_gene	Ensemble_ID	Ensemble_Human_ID	HIindex	Strata Group
NC_053230.1	2601499	2633055	rna-XM_040162590.1	g10611.t2	chr19	5656265	5693737	120809048	ENSGACG00000002886	ENSG00000140853	0.007802228	S2	1n
NC_053230.1	2819463	2894806	rna-XM_040163548.1	g10603.t1	chr19	5200761	5341335	120809611	ENSGACG00000003089	ENSG00000103154	0.035747368	S2	1n-2n
NC_053230.1	2916791	2927283	rna-XM_040163374.1	g10601.t1	chr19	5165531	5178964	120809525	ENSGACG00000003117	ENSG00000140943	0.245894196	S2	1n-2n
NC_053230.1	2931513	2941158	rna-XM_040163603.1	g10598.t1	chr19	5144804	5156979	120809642	ENSGACG00000025933	ENSG00000159792	0.230054921	S2	2n
NC_053230.1	2960830	3008243	rna-XM_040162403.1	g10597.t1	chr19	5036933	5096238	120808978	ENSGACG00000026905	ENSG00000188038	0.015630486	S2	2n
NC_053230.1	3008862	3031677	rna-XM_040162399.1	g10596.t1	chr19	5004855	5034430	120808977	ENSGACG00000003130	ENSG00000038358	0.410890874	S2	1n-2n
NC_053230.1	3119505	3126958	rna-XM_040163589.1	g10591.t1	chr19	4889721	4895629	120809636	ENSGACG00000003152	ENSG00000140543	0.288689728	S2	1n
NC_053230.1	3165079	3197100	rna-XM_040163040.1	g10574.t1	chr19	4326429	4375293	120809326	ENSGACG00000037753	ENSG00000154118	0.231218042	S2	1n-2n
NC_053230.1	3202733	3213175	rna-XM_040163470.1	g10573.t1	chr19	4286631	4302639	120809570	ENSGACG00000003198	ENSG00000104731	0.018519444	S2	1n-2n
NC_053230.1	3263132	3269734	rna-XM_040162787.1	g10569.t1	chr19	4221794	4228021	120809156	ENSGACG00000003242	ENSG00000213398	0.351438281	S2	2n
NC_053230.1	3269825	3277090	rna-XM_040162788.1	g10568.t1	chr19	4213408	4221086	120809157	ENSGACG00000028733	ENSG00000103066	0.081764213	S2	2n
NC_053230.1	3281681	3285409	rna-XM_040162769.1	g10566.t1	chr19	4207667	4210005	120809137	ENSGACG00000003257	ENSG00000103005	0.055952363	S2	1n
NC_053230.1	3285464	3290900	rna-XM_040162768.1	g10565.t1	chr19	4203793	4205758	120809136	ENSGACG00000035886	ENSG00000166188	0.06251298	S2	2n
NC_053230.1	3306146	3326270	rna-XM_040163492.1	g10563.t1	chr19	4119232	4147591	120809582	ENSGACG00000003267	ENSG00000103089	0.063517581	S2	2n
NC_053230.1	3411178	3427068	rna-XM_040163773.1	g10518.t1	chr19	2897750	2915009	120809742	ENSGACG00000036003	ENSG00000186714	0.059934453	S2	1n-2n
NC_053230.1	3466402	3544918	rna-XM_040162871.1	g10514.t4	chr19	2754401	2843167	120809220	ENSGACG00000003338	ENSG00000110427	0.047666132	S2	2n
NC_053230.1	3696761	3738884	rna-XM_040163295.1	g10469.t1	chr19	1280938	1349370	120809472	ENSGACG00000030803	ENSG00000170743	0.538155711	S2	1n-2n
NC_053230.1	3759989	3765132	rna-XM_040163644.1	g10470.t1	chr19	1442513	1452941	120809664	ENSGACG00000003368	ENSG00000183801	0.096739969	S2	1n
NC_053230.1	4278424	4312249	rna-XM_040162237.1	g10578.t2	chr19	4577842	4620363	100379285	ENSGACG00000024874	ENSG00000175216	0.997928049	S2	2n
NC_053230.1	4361668	4384458	rna-XM_040161855.1	g10540.t1	chr19	3268413	3299259	120808750	ENSGACG00000014081	ENSG00000103047	0.094005655	S2	1n-2n
NC_053230.1	4385979	4397136	rna-XM_040163609.1	g10539.t1	chr19	3256678	3259361	120809645	ENSGACG00000029908	ENSG00000103044	0.384788136	S2	2n
NC_053230.1	4402614	4406909	rna-XM_040163138.1	g10538.t1	chr19	3237234	3240534	120809384	ENSGACG00000023731	ENSG00000168802	0.583934938	S2	1n
NC_053230.1	4423342	4447903	rna-XM_040162737.1	g10536.t3	chr19	3186816	3218338	120809127	ENSGACG00000014025	ENSG00000158545	0.062626987	S2	2n
NC_053230.1	4662577	4672364	rna-XM_040163899.1	g10640.t1	chr19	6541328	6548268	120809813	ENSGACG00000013939	ENSG00000125124	0.509758209	S2	1n-2n
NC_053230.1	4676449	4680696	rna-XM_040163913.1	g10639.t1	chr19	6531506	6534914	120809817	ENSGACG00000013931	ENSG00000042286	0.142363482	S2	1n
NC_053230.1	4751268	4755462	rna-XM_040163238.1	g10660.t1	chr19	6820600	6822763	120809434	ENSGACG00000013899	ENSG00000102931	0.201307807	S2	1n
NC_053230.1	4755946	4767719	rna-XM_040163179.1	g10661.t1	chr19	6825203	6832550	120809402	ENSGACG00000013896	ENSG00000159579	0.351006174	S2	1n-2n
NC_053230.1	4769758	4771312	rna-XM_040163675.1	g10663.t1	chr19	6847529	6848245	120809681	ENSGACG00000032539	ENSG00000129055	0.252416865	S2	1n
NC_053230.1	4786212	4809581	rna-XM_040162621.1	g10666.t1	chr19	6870882	6889193	120809063	ENSGACG00000037922	ENSG00000102900	0.785340827	S2	1n-2n
NC_053230.1	4819431	4832271	rna-XM_040162623.1	g10668.t2	chr19	6901592	6911001	120809064	ENSGACG00000013856	ENSG00000102996	0.030787011	S2	1n-2n
NC_053230.1	4863436	4878008	rna-XM_040162350.1	g10671.t1	chr19	6949505	6959734	120808964	ENSGACG00000024552	ENSG00000102890	0.133062581	S2	1n-2n
NC_053230.1	4879049	4886708	rna-XM_040162354.1	g10672.t1	chr19	6965932	6971130	120808966	ENSGACG00000022920	ENSG00000205250	0.500599501	S2	2n
NC_053230.1	4899879	4922390	rna-XM_040163199.1	g10674.t1	chr19	6997144	7004414	120809411	ENSGACG00000013816	ENSG00000158715	0.191055072	S2	1n
NC_053230.1	5182355	5364153	rna-XM_040163269.1	g10679.t1	chr19	7275629	7476658	120809452	ENSGACG00000029247	ENSG00000140945	0.953699546	S2	1n-2n
NC_053230.1	5493911	5513012	rna-XM_040163559.1	g10684.t1	chr19	7635747	7650995	120809617	ENSGACG00000028769	ENSG00000168418	0.04032191	S2	1n-2n
NC_053230.1	5578812	5583954	rna-XM_040163497.1	g10688.t2	chr19	7717488	7722144	120809585	ENSGACG00000013731	ENSG00000139180	0.046511954	S2	1n-2n
NC_053230.1	5607766	5637031	rna-XM_040161811.1	g10692.t1	chr19	7767838	7796603	120808726	ENSGACG00000025916	ENSG00000099954	0.038569705	S2	1n-2n
NC_053230.1	5649446	5660269	rna-XM_040161814.1	g10695.t2	chr19	7815225	7823232	120808728	ENSGACG00000026161	ENSG00000099968	0.039355581	S2	1n
NC_053230.1	5662889	5666799	rna-XM_040161812.1	g10697.t1	chr19	7828015	7831168	120808727	ENSGACG00000013687	ENSG00000214102	0.028559736	S2	1n
NC_053230.1	5674725	5678379	rna-XM_040162234.1	g10699.t1	chr19	7841707	7844721	120808909	ENSGACG00000013670	ENSG00000006530	0.100051817	S2	1n-2n
NC_053230.1	5678531	5692999	rna-XM_040162236.1	g10700.t1	chr19	7845317	7858685	120808910	ENSGACG00000013655	ENSG00000155561	0.611820323	S2	2n
NC_053230.1	5693276	5724793	rna-XM_040162218.1	g10701.t1	chr19	7860825	7891014	120808908	ENSGACG00000036917	ENSG00000139132	0.105322897	S2	1n-2n
NC_053230.1	6056622	6109783	rna-XM_040163035.1	g10709.t1	chr19	8252845	8304536	120809324	ENSGACG00000025855	ENSG00000011105	0.258218975	S2	1n
NC_053230.1	6246868	6311683	rna-XM_040162291.1	g10715.t3	chr19	8433662	8497617	120808936	ENSGACG00000013538	ENSG00000064393	0.358752838	S2	1n-2n
NC_053230.1	6374531	6377796	rna-XM_040163525.1	g10717.t2	chr19	8562588	8563880	120809602	ENSGACG00000024236	ENSG00000168000	0.09973617	S2	2n
NC_053230.1	6382058	6388180	rna-XM_040163532.1	g10720.t1	chr19	8570589	8574885	120809605	ENSGACG00000013517	ENSG00000111596	0.864864784	S2	2n
NC_053230.1	6498240	6500769	rna-XM_040163725.1	g10726.t1	chr19	8675552	8676679	120809715	ENSGACG00000027290	ENSG00000120832	0.049911281	S2	1n-2n
NC_053230.1	6507935	6518410	rna-XM_040163095.1	g10728.t1	chr19	8684984	8690161	120809361	ENSGACG00000013480	ENSG00000008405	0.752934353	S2	1n-2n
NC_053230.1	6578425	6585631	rna-XM_040163093.1	g10731.t1	chr19	8765113	8769677	120809360	ENSGACG00000029939	ENSG00000073150	0.050433157	S2	2n
NC_053230.1	6586422	6592842	rna-XM_040163097.1	g10732.t1	chr19	8772180	8776097	120809363	ENSGACG00000036325	ENSG00000170638	0.045886412	S2	1n-2n
NC_053230.1	6598513	6603405	rna-XM_040163098.1	g10734.t1	chr19	8784730	8789141	120809364	ENSGACG00000036950	ENSG00000188130	0.084590962	S2	2n
NC_053230.1	6796109	6803017	rna-XM_040161834.1	g10739.t1	chr19	8985612	8991206	120808734	ENSGACG00000013365	ENSG00000105176	0.584128521	S2	2n
NC_053230.1	6812184	6869751	rna-XM_040161829.1	g10743.t1	chr19	9002209	9059753	120808733	ENSGACG00000013333	ENSG00000196935	0.344907748	S2	2n
NC_053230.1	6873160	6877563	rna-XM_040162912.1	g10745.t1	chr19	9064335	9068572	120809242	ENSGACG00000013321	ENSG00000059378	0.044712183	S2	1n
NC_053230.1	6900133	6920563	rna-XM_040161991.1	g10952.t1	chr19	13766706	13780641	120808805	ENSGACG00000013246	ENSG00000173575	0.402314815	S3	1n-2n
NC_053230.1	6992943	6996185	rna-XM_040163749.1	g10950.t1	chr19	13686724	13687610	120809728	ENSGACG00000013238	ENSG00000183060	0.015041445	S3	1n
NC_053230.1	7155846	7160619	rna-XM_040162809.1	g10949.t2	chr19	13526052	13530402	120809170	ENSGACG00000014846	ENSG00000185551	0.807701256	S3	1n
NC_053230.1	7322748	7351505	rna-XM_040163598.1	g10948.t3	chr19	13334786	13362865	120809640	ENSGACG00000031202	ENSG00000140563	0.173710273	S3	1n-2n
NC_053230.1	7353507	7404888	rna-XM_040162417.1	g10947.t2	chr19	13297604	13329217	120808986	ENSGACG00000027908	ENSG00000068305	0.792629794	S3	2n
NC_053230.1	7426031	7434753	rna-XM_040163207.1	g10946.t1	chr19	13248607	13256909	120809414	ENSGACG00000028196	ENSG00000103852	0.019142068	S3	1n
NC_053230.1	7512444	7516672	rna-XM_040162483.1	g10942.t1	chr19	13165595	13168316	120809008	ENSGACG00000013162	ENSG00000154227	0.051250547	S3	1n-2n
NC_053230.1	7517391	7531726	rna-XM_040162480.1	g10941.t2	chr19	13152928	13163788	120809006	ENSGACG00000013149	ENSG00000047617	0.232649133	S3	2n
NC_053230.1	7531999	7550972	rna-XM_040162478.1	g10940.t1	chr19	13131512	13149638	120809004	ENSGACG00000013135	ENSG00000110799	0.625448521	S3	1n-2n
NC_053230.1	7559248	7561996	rna-XM_040162482.1	g10938.t1	chr19	13119066	13121149	120809007	ENSGACG00000013120	ENSG00000179941	0.059884533	S3	1n
NC_053230.1	7681401	7688219	rna-XM_040162127.1	g10932.t1	chr19	13002992	13008603	120808872	ENSGACG00000013030	ENSG00000013573	0.01203892	S3	1n-2n
NC_053230.1	7688386	7693523	rna-XM_040162130.1	g10931.t1	chr19	12997188	13001791	120808874	ENSGACG00000012979	ENSG00000004478	0.187569502	S3	2n
NC_053230.1	7715917	7735112	rna-XM_040163842.1	g10926.t6	chr19	12952512	12969753	120809784	ENSGACG00000012946	ENSG00000111731	0.483387867	S3	1n-2n
NC_053230.1	7735441	7742442	rna-XM_040163865.1	g10925.t1	chr19	12944762	12949347	120809788	ENSGACG00000012928	ENSG00000100258	0.017129295	S3	1n-2n
NC_053230.1	7742385	7745381	rna-XM_040163867.1	g10924.t1	chr19	12941478	12943927	120809789	ENSGACG00000012900	ENSG00000100253	0.037846234	S3	1n
NC_053230.1	7760701	7773392	rna-XM_040161692.1	g10921.t2	chr19	12917231	12924481	120808657	ENSGACG00000027648	ENSG00000100239	0.017361961	S3	1n-2n
NC_053230.1	7775355	7780334	rna-XM_040161699.1	g10920.t1	chr19	12909207	12912614	120808661	ENSGACG00000034311	ENSG00000069345	0.433350278	S3	2n
