HOG	OG	Gene Tree Parent Clade	Af	Aq	Ga	GaY	Gw	GwY
N3.HOG0000000	OG0000000	n1			rna-XM_040184019.1			
N3.HOG0000001	OG0000000	n6			rna-XM_040171379.1			
N3.HOG0000002	OG0000000	n17			rna-XM_040201483.1			
N3.HOG0000003	OG0000000	n21			rna-XM_040197869.1			
N3.HOG0000004	OG0000000	n24			rna-XM_040171147.1			
N3.HOG0000005	OG0000000	n37			rna-XM_040188339.1			
N3.HOG0000006	OG0000000	n39			rna-XM_040161294.1			
N3.HOG0000007	OG0000000	n47			rna-XM_040201635.1			
N3.HOG0000008	OG0000000	n53			rna-XM_040204255.1			
N3.HOG0000009	OG0000000	n55			rna-XM_040204056.1			
N3.HOG0000010	OG0000000	n58			rna-XM_040202742.1			
N3.HOG0000011	OG0000000	n61			rna-XM_040193303.1			
N3.HOG0000012	OG0000000	n65			rna-XM_040165701.1			
N3.HOG0000013	OG0000000	n69			rna-XM_040204824.1			
N3.HOG0000014	OG0000000	n74			rna-XM_040193132.1			
N3.HOG0000015	OG0000000	n80			rna-XM_040182188.1			
N3.HOG0000016	OG0000000	n83			rna-XM_040179904.1			
N3.HOG0000017	OG0000000	n87			rna-XM_040171536.1			
N3.HOG0000018	OG0000000	n90			rna-XM_040184128.1			
N3.HOG0000019	OG0000001	n4			rna-XM_040162808.1	rna-XM_040168002.1		
N3.HOG0000020	OG0000001	n10			rna-XM_040163228.1			
N3.HOG0000021	OG0000001	n21			rna-XM_040185756.1			
N3.HOG0000022	OG0000001	n24			rna-XM_040191318.1			
N3.HOG0000023	OG0000001	n30			rna-XM_040186392.1			
N3.HOG0000024	OG0000001	n33			rna-XM_040190927.1			
N3.HOG0000025	OG0000001	n37			rna-XM_040166118.1			
N3.HOG0000026	OG0000001	n40			rna-XM_040186397.1			
N3.HOG0000027	OG0000001	n43			rna-XM_040189907.1			
N3.HOG0000028	OG0000001	n46			rna-XM_040194111.1			
N3.HOG0000029	OG0000001	n51			rna-XM_040167206.1			
N3.HOG0000030	OG0000001	n54			rna-XM_040172106.1			
N3.HOG0000031	OG0000001	n56			rna-XM_040172107.1			
N3.HOG0000032	OG0000001	n58			rna-XM_040169813.1			
N3.HOG0000033	OG0000001	n60			rna-XM_040191001.1			
N3.HOG0000034	OG0000001	n64			rna-XM_040189834.1			
N3.HOG0000035	OG0000001	n66			rna-XM_040189835.1			
N3.HOG0000036	OG0000001	n70			rna-XM_040205043.1			
N3.HOG0000037	OG0000001	n72			rna-XM_040205041.1			
N3.HOG0000038	OG0000002	n1			rna-XM_040163006.1	rna-XM_040168724.1		
N3.HOG0000039	OG0000002	n18			rna-XM_040161661.1			
N3.HOG0000040	OG0000002	n31			rna-XM_040163341.1			
N3.HOG0000041	OG0000002	n47			rna-XM_040177580.1			
N3.HOG0000042	OG0000002	n51			rna-XM_040193041.1			
N3.HOG0000043	OG0000002	n52			rna-XM_040193055.1			
N3.HOG0000044	OG0000002	n53			rna-XM_040182126.1			
N3.HOG0000045	OG0000002	n56			rna-XM_040169703.1			
N3.HOG0000046	OG0000002	n57			rna-XM_040162647.1			
N3.HOG0000047	OG0000002	n59			rna-XM_040161663.1			
N3.HOG0000048	OG0000002	n60			rna-XM_040169367.1			
N3.HOG0000049	OG0000002	n61			rna-XM_040163927.1			
N3.HOG0000050	OG0000002	n63			rna-XM_040169597.1	rna-XM_040168332.1		
N3.HOG0000051	OG0000003	n1			rna-XM_040180613.1			
N3.HOG0000052	OG0000003	n23			rna-XM_040182818.1			
N3.HOG0000053	OG0000003	n32			rna-XM_040162648.1	rna-XM_040168349.1		
N3.HOG0000054	OG0000003	n46			rna-XM_040163356.1, rna-XM_040163007.1, rna-XM_040163770.1	rna-XM_040168342.1		
N3.HOG0000055	OG0000003	n50			rna-XM_040163008.1	rna-XM_040168335.1		
N3.HOG0000056	OG0000003	n51			rna-XM_040169368.1			
N3.HOG0000057	OG0000003	n52			rna-XM_040162650.1	rna-XM_040168727.1		
N3.HOG0000058	OG0000003	n54			rna-XM_040161668.1			
