"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","gaculeatus_paralog_chromosome","gaculeatus_paralog_chrom_start","gaculeatus_paralog_chrom_end","hsapiens_homolog_ensembl_gene","hsapiens_homolog_chromosome","hsapiens_homolog_chrom_start","hsapiens_homolog_chrom_end","hsapiens_homolog_associated_gene_name","hsapiens_homolog_orthology_type","hsapiens_homolog_perc_id_r1"
"1","ENSGACG00000007524","gpr157","XII",10996226,11000522,"",NA,NA,"ENSG00000180758","1",9100305,9129102,"GPR157","ortholog_one2one",57.3134
"2","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XII",19311262,19319448,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"3","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XVII",3399507,3413003,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"4","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"X",16643905,16655032,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"5","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XVII",14255685,14315765,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"6","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XI",15506396,15512370,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"7","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XVII",7818273,7823592,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"8","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XX",7498450,7506821,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"9","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"V",3776368,3782152,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"10","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XV",10491869,10501596,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"11","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XIII",20015151,20022643,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"12","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"VI",2692066,2712953,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"13","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"IX",11357094,11369455,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"14","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XVII",14442029,14448614,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"15","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XVII",14448447,14455949,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"16","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XIII",9264558,9271534,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"17","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XVIII",11003224,11009690,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"18","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XV",12692985,12698148,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"19","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"VII",4839225,4850780,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"20","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XVII",17963204,17968530,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"21","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XIX",13479586,13486010,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"22","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"IV",25567939,25619672,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"23","ENSGACG00000007486","slc2a5","XII",11001442,11014055,"XVII",7824291,7831562,"ENSG00000142583","1",9035106,9088478,"SLC2A5","ortholog_one2one",66.4671
"24","ENSGACG00000007396","eno1a","XII",11031070,11039096,"X",16877370,16881372,"ENSG00000074800","1",8861000,8879190,"ENO1","ortholog_one2one",87.5576
"25","ENSGACG00000007396","eno1a","XII",11031070,11039096,"XX",7857940,7862971,"ENSG00000074800","1",8861000,8879190,"ENO1","ortholog_one2one",87.5576
"26","ENSGACG00000007396","eno1a","XII",11031070,11039096,"VII",228284,231960,"ENSG00000074800","1",8861000,8879190,"ENO1","ortholog_one2one",87.5576
"27","ENSGACG00000007396","eno1a","XII",11031070,11039096,"VI",2050538,2068378,"ENSG00000074800","1",8861000,8879190,"ENO1","ortholog_one2one",87.5576
"28","ENSGACG00000007376","samd11","XII",11183639,11226778,"IV",32920378,32952624,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"29","ENSGACG00000007376","samd11","XII",11183639,11226778,"III",12414703,12433267,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"30","ENSGACG00000007376","samd11","XII",11183639,11226778,"XI",8957652,8970151,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"31","ENSGACG00000007376","samd11","XII",11183639,11226778,"IX",7608390,7613204,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"32","ENSGACG00000007376","samd11","XII",11183639,11226778,"VIII",13660981,13663440,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"33","ENSGACG00000007376","samd11","XII",11183639,11226778,"III",12505714,12511964,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"34","ENSGACG00000007376","samd11","XII",11183639,11226778,"XXI",16817017,16820884,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"35","ENSGACG00000007376","samd11","XII",11183639,11226778,"XII",19556544,19565633,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"36","ENSGACG00000007376","samd11","XII",11183639,11226778,"XVII",3429464,3450355,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"37","ENSGACG00000007376","samd11","XII",11183639,11226778,"XXI",17271352,17278611,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"38","ENSGACG00000007376","samd11","XII",11183639,11226778,"XX",8712016,8726066,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"39","ENSGACG00000007376","samd11","XII",11183639,11226778,"XII",13375936,13387222,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"40","ENSGACG00000007376","samd11","XII",11183639,11226778,"V",5044885,5054954,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"41","ENSGACG00000007376","samd11","XII",11183639,11226778,"V",1931576,1941583,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"42","ENSGACG00000007376","samd11","XII",11183639,11226778,"VIII",19348696,19356065,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"43","ENSGACG00000007376","samd11","XII",11183639,11226778,"II",6391653,6412337,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"44","ENSGACG00000007376","samd11","XII",11183639,11226778,"XVII",15287236,15301390,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"45","ENSGACG00000007376","samd11","XII",11183639,11226778,"XX",7593940,7599640,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"46","ENSGACG00000007376","samd11","XII",11183639,11226778,"X",16634764,16643202,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"47","ENSGACG00000007376","samd11","XII",11183639,11226778,"XVIII",11188713,11200175,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"48","ENSGACG00000007376","samd11","XII",11183639,11226778,"XV",11766203,11770426,"ENSG00000187634","1",923923,944575,"SAMD11","ortholog_one2one",53.673
"49","ENSGACG00000007367","noc2l","XII",11227813,11247459,"",NA,NA,"ENSG00000188976","1",944203,959309,"NOC2L","ortholog_one2one",56.2083
"50","ENSGACG00000007356","klhl17","XII",11243543,11252937,"IV",8976398,9002800,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"51","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XII",5310837,5318706,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"52","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XVII",2744308,2750562,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"53","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XV",3548333,3552979,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"54","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XII",17409699,17532746,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"55","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XX",16442117,16465333,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"56","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XXI",15475080,15478711,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"57","ENSGACG00000007356","klhl17","XII",11243543,11252937,"III",6438450,6453436,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"58","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XIII",17664466,17686249,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"59","ENSGACG00000007356","klhl17","XII",11243543,11252937,"VIII",2887381,2892174,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"60","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XIX",8699197,8702842,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"61","ENSGACG00000007356","klhl17","XII",11243543,11252937,"I",2489548,2493205,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"62","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XVI",10404801,10407968,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"63","ENSGACG00000007356","klhl17","XII",11243543,11252937,"III",16552171,16561961,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"64","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XVII",7691013,7694942,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"65","ENSGACG00000007356","klhl17","XII",11243543,11252937,"IV",1380911,1388073,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"66","ENSGACG00000007356","klhl17","XII",11243543,11252937,"III",9617166,9621344,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"67","ENSGACG00000007356","klhl17","XII",11243543,11252937,"IX",4337229,4344708,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"68","ENSGACG00000007356","klhl17","XII",11243543,11252937,"VII",23284768,23287529,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"69","ENSGACG00000007356","klhl17","XII",11243543,11252937,"I",14382054,14387097,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"70","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XIII",14465741,14470163,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"71","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XVIII",13799299,13928955,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"72","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XII",6062648,6069311,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"73","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XIX",14464959,14470531,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"74","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XVII",1812705,1815568,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"75","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XII",13173676,13178134,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"76","ENSGACG00000007356","klhl17","XII",11243543,11252937,"JACDQR010000875.1",27027,31067,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"77","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XIII",18270030,18274492,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"78","ENSGACG00000007356","klhl17","XII",11243543,11252937,"VII",28870368,28876894,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"79","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XVIII",3460137,3535910,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"80","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XV",14747151,14751582,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"81","ENSGACG00000007356","klhl17","XII",11243543,11252937,"III",6756992,6769842,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"82","ENSGACG00000007356","klhl17","XII",11243543,11252937,"IV",32609607,32612641,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"83","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XIX",1703796,1713744,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"84","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XX",13881420,13885191,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"85","ENSGACG00000007356","klhl17","XII",11243543,11252937,"X",9844929,9849601,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"86","ENSGACG00000007356","klhl17","XII",11243543,11252937,"VII",2310285,2313485,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"87","ENSGACG00000007356","klhl17","XII",11243543,11252937,"VII",2305840,2310663,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"88","ENSGACG00000007356","klhl17","XII",11243543,11252937,"V",11439027,11440805,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"89","ENSGACG00000007356","klhl17","XII",11243543,11252937,"VIII",9521486,9529690,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"90","ENSGACG00000007356","klhl17","XII",11243543,11252937,"XVI",18126235,18132588,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"91","ENSGACG00000007356","klhl17","XII",11243543,11252937,"IX",16225157,16232641,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
"92","ENSGACG00000007356","klhl17","XII",11243543,11252937,"VI",9432848,9437264,"ENSG00000187961","1",960584,965719,"KLHL17","ortholog_one2one",83.9564
