HOG	OG	Gene Tree Parent Clade	Af	Aq	Ga	GaY	Gw	GwY
N1.HOG0000000	OG0000000	n1		ApeQuad10534-RA	rna-XM_040184019.1		g20461.t1	
N1.HOG0000001	OG0000000	n6		ApeQuad12730-RA	rna-XM_040171379.1		g14177.t4	
N1.HOG0000002	OG0000000	n17			rna-XM_040201483.1		g8094.t1	
N1.HOG0000003	OG0000000	n21			rna-XM_040197869.1		g5930.t1	
N1.HOG0000004	OG0000000	n24		ApeQuad12823-RA	rna-XM_040171147.1		g14418.t1	
N1.HOG0000005	OG0000000	n30		ApeQuad12817-RA, ApeQuad12818-RA			g14414.t1	
N1.HOG0000006	OG0000000	n33		ApeQuad00149-RA, ApeQuad00148-RA			g273.t1	
N1.HOG0000007	OG0000000	n37			rna-XM_040188339.1		g2202.t1	
N1.HOG0000008	OG0000000	n39		ApeQuad18113-RA	rna-XM_040161294.1		g9605.t1	
N1.HOG0000009	OG0000000	n47		ApeQuad11222-RA	rna-XM_040201635.1		g8096.t1	
N1.HOG0000010	OG0000000	n52		ApeQuad01942-RA				
N1.HOG0000011	OG0000000	n53		ApeQuad01941-RA	rna-XM_040204255.1		g11933.t1	
N1.HOG0000012	OG0000000	n55			rna-XM_040204056.1		g8482.t2	
N1.HOG0000013	OG0000000	n58		ApeQuad05168-RA	rna-XM_040202742.1		g8365.t1	
N1.HOG0000014	OG0000000	n61			rna-XM_040193303.1		g4321.t1, g116.t1	
N1.HOG0000015	OG0000000	n65		ApeQuad09095-RA	rna-XM_040165701.1		g12844.t2	
N1.HOG0000016	OG0000000	n69		ApeQuad05492-RA	rna-XM_040204824.1		g9297.t1	
N1.HOG0000017	OG0000000	n74		ApeQuad07672-RA	rna-XM_040193132.1		g4589.t1	g22699.t1
N1.HOG0000018	OG0000000	n80		ApeQuad14060-RA	rna-XM_040182188.1		g18539.t1	
N1.HOG0000019	OG0000000	n83		ApeQuad21163-RA	rna-XM_040179904.1		g19776.t1	
N1.HOG0000020	OG0000000	n87		ApeQuad12932-RA	rna-XM_040171536.1		g14544.t1	
N1.HOG0000021	OG0000000	n90		ApeQuad10207-RA	rna-XM_040184128.1		g20295.t5	
N1.HOG0000022	OG0000001	n4			rna-XM_040162808.1	rna-XM_040168002.1	g10432.t1, g10433.t1	
N1.HOG0000023	OG0000001	n10			rna-XM_040163228.1		g10435.t1	
N1.HOG0000024	OG0000001	n21		ApeQuad04059-RA	rna-XM_040185756.1		g21225.t1	
N1.HOG0000025	OG0000001	n24		ApeQuad16183-RA	rna-XM_040191318.1		g3504.t1, g2474.t1	
N1.HOG0000026	OG0000001	n30		ApeQuad03687-RA	rna-XM_040186392.1		g21000.t3	
N1.HOG0000027	OG0000001	n33		ApeQuad15438-RA	rna-XM_040190927.1		g3260.t1, g3261.t1	
N1.HOG0000028	OG0000001	n37			rna-XM_040166118.1		g12909.t1	
N1.HOG0000029	OG0000001	n40		ApeQuad03685-RA	rna-XM_040186397.1		g20995.t2	
N1.HOG0000030	OG0000001	n43		ApeQuad15365-RA	rna-XM_040189907.1		g3361.t1	
N1.HOG0000031	OG0000001	n46			rna-XM_040194111.1		g3552.t1	
N1.HOG0000032	OG0000001	n51			rna-XM_040167206.1		g13880.t2	
N1.HOG0000033	OG0000001	n54			rna-XM_040172106.1		g14027.t1	
N1.HOG0000034	OG0000001	n56			rna-XM_040172107.1		g14028.t1	
N1.HOG0000035	OG0000001	n58			rna-XM_040169813.1		g10245.t1	
N1.HOG0000036	OG0000001	n60			rna-XM_040191001.1		g2496.t1	
N1.HOG0000037	OG0000001	n64			rna-XM_040189834.1		g3049.t1	
N1.HOG0000038	OG0000001	n66			rna-XM_040189835.1		g3050.t2	
N1.HOG0000039	OG0000001	n70			rna-XM_040205043.1		g9008.t1	
N1.HOG0000040	OG0000001	n72			rna-XM_040205041.1		g9007.t2	
N1.HOG0000041	OG0000002	n1			rna-XM_040163006.1	rna-XM_040168724.1	g10360.t1	
N1.HOG0000042	OG0000002	n18			rna-XM_040161661.1			
N1.HOG0000043	OG0000002	n31			rna-XM_040163341.1		g12204.t1	
N1.HOG0000044	OG0000002	n47			rna-XM_040177580.1		g293.t1, g17253.t1	
N1.HOG0000045	OG0000002	n51			rna-XM_040193041.1		g19087.t1	
N1.HOG0000046	OG0000002	n52			rna-XM_040193055.1		g16673.t1	
N1.HOG0000047	OG0000002	n53			rna-XM_040182126.1			
N1.HOG0000048	OG0000002	n56			rna-XM_040169703.1			
N1.HOG0000049	OG0000002	n57			rna-XM_040162647.1		g12199.t1	
N1.HOG0000050	OG0000002	n58					g10453.t1	
N1.HOG0000051	OG0000002	n59			rna-XM_040161663.1		g12188.t1	
N1.HOG0000052	OG0000002	n60			rna-XM_040169367.1		g10470.t1	
N1.HOG0000053	OG0000002	n61			rna-XM_040163927.1		g13975.t1	
N1.HOG0000054	OG0000002	n63			rna-XM_040169597.1	rna-XM_040168332.1		
N1.HOG0000055	OG0000003	n1			rna-XM_040180613.1		g18828.t1	
N1.HOG0000056	OG0000003	n23			rna-XM_040182818.1		g19138.t1	
N1.HOG0000057	OG0000003	n32			rna-XM_040162648.1	rna-XM_040168349.1		
N1.HOG0000058	OG0000003	n43			rna-XM_040163009.1, rna-XM_040163356.1, rna-XM_040163007.1, rna-XM_040163770.1, rna-XM_040163008.1	rna-XM_040168726.1, rna-XM_040168342.1, rna-XM_040168335.1	g12190.t1	
N1.HOG0000059	OG0000003	n51			rna-XM_040169368.1		g12197.t1	
N1.HOG0000060	OG0000003	n52			rna-XM_040162650.1	rna-XM_040168727.1	g12182.t1	
N1.HOG0000061	OG0000003	n54			rna-XM_040161668.1		g12194.t1	
N1.HOG0000062	OG0000003	n55			rna-XM_040162649.1	rna-XM_040168725.1	g12206.t1	
