## Genes which are present on the Gw_X but absent from the Gw_Y
## The 'GaX?' column denotes whether there is an ortholog on the GaX or not
#
X_gene	CHROM	X_START	X_STOP	GaX?
g4321.t1	chr12	14883906	14905453	Absent
g10432.t1	chr19	6337173	6364422	Present
g10433.t1	chr19	6352890	6364422	Present
g10435.t1	chr19	6379523	6398067	Present
g10360.t1	chr19	3905498	3906761	Present
g10453.t1	chr19	7199302	7199713	Absent
g10470.t1	chr19	7502408	7502819	Absent
g10358.t1	chr19	3899663	3900301	Present
g10306.t1	chr19	2008911	2015404	Absent
g10457.t1	chr19	7262371	7263479	Present
g10468.t1	chr19	7499220	7499599	Present
g10454.t1	chr19	7201399	7201992	Present
g10359.t1	chr19	3900940	3901418	Present
g4443.t1	chr12	18455278	18462677	Absent
g10471.t1	chr19	7504999	7505613	Present
g10473.t1	chr19	7535011	7535638	Present
g11291.t1	chr19	22825240	22839058	Present
g10659.t1	chr19	12046500	12055758	Present
g10463.t1	chr19	7345558	7424583	Absent
g10905.t1	chr19	16986994	16990908	Present
g11286.t1	chr19	22710881	22732134	Present
g11234.t1	chr19	21323940	21331739	Present
g4364.t4	chr12	16018347	16075031	Absent
g10437.t1	chr19	6455819	6498503	Present
g10465.t1	chr19	7467218	7477275	Present
g10439.t1	chr19	6516968	6531553	Present
g10877.t1	chr19	16275938	16285238	Present
g10912.t2	chr19	17143416	17160725	Present
g10561.t1	chr19	9705007	9765220	Present
g4196.t1	chr12	12324341	12327860	Absent
g11180.t2	chr19	20576987	20597196	Present
g10787.t1	chr19	14603499	14619446	Present
g10786.t1	chr19	14583434	14602964	Present
g10643.t1	chr19	11842970	11853510	Present
g11135.t1	chr19	20094032	20104204	Present
g10756.t1	chr19	13648406	13653518	Present
g10882.t1	chr19	16370774	16386638	Present
g10547.t1	chr19	9399405	9459929	Present
g10959.t2	chr19	17834053	17866514	Present
g10930.t1	chr19	17336132	17397758	Absent
g10554.t1	chr19	9523754	9596014	Present
g10381.t3	chr19	4493051	4525732	Present
g10382.t2	chr19	4526014	4532211	Present
g10760.t1	chr19	13686734	13701060	Present
g10763.t1	chr19	13712433	13775470	Present
g10853.t1	chr19	15891011	15909729	Present
g11275.t2	chr19	22400823	22452114	Present
g10318.t1	chr19	2619182	2683379	Present
g11277.t1	chr19	22456001	22506862	Present
g10313.t1	chr19	2300398	2366159	Present
g10320.t2	chr19	2747505	2786817	Present
g10531.t1	chr19	9059732	9110811	Present
g10265.t1	chr19	15770	20901	Absent
g10270.t1	chr19	400170	442257	Absent
g10266.t1	chr19	77424	77712	Absent
g10819.t1	chr19	15291124	15297633	Present
g10705.t1	chr19	12762508	12769739	Present
g10727.t1	chr19	13180361	13200338	Present
g4376.t1	chr12	16176223	16199257	Absent
g10519.t6	chr19	8628826	8658630	Present
g10448.t1	chr19	6946406	6960927	Present
g10586.t2	chr19	10210805	10226038	Present
g10690.t1	chr19	12514416	12522336	Present
g10910.t1	chr19	17124060	17130385	Absent
g10636.t2	chr19	11764656	11781565	Present
g3820.t2	chr12	6347694	6367331	Absent
g10909.t1	chr19	17102664	17104310	Present
g10924.t1	chr19	17273975	17274901	Present
g10962.t2	chr19	17874079	17875764	Present
g10517.t1	chr19	8590329	8597910	Present
g11119.t1	chr19	19953646	19966628	Present
g10818.t1	chr19	15277653	15296706	Present
g11186.t1	chr19	20677222	20712301	Present
g11294.t1	chr19	22888483	22891811	Present
g10740.t1	chr19	13440274	13450108	Present
g10820.t1	chr19	15291124	15303576	Present
g10546.t1	chr19	9394419	9405147	Present
g10736.t1	chr19	13404161	13411843	Present
g10593.t3	chr19	10393833	10541454	Present
g4387.t1	chr12	16295905	16330105	Absent
g10772.t2	chr19	14301340	14323053	Present
g10676.t3	chr19	12229614	12249377	Present
g10657.t3	chr19	12023162	12030841	Present
g4197.t1	chr12	12327919	12341165	Absent
g10486.t1	chr19	7676398	7693586	Present
g10834.t2	chr19	15445111	15466640	Present
g10730.t1	chr19	13320763	13338106	Present
g10664.t1	chr19	12129214	12143210	Present
g10528.t1	chr19	8909691	9038087	Present
g10802.t1	chr19	14793242	14797931	Present
g10788.t2	chr19	14611446	14653012	Present
g10331.t1	chr19	3063536	3070007	Present
g4519.t1	chr12	20472466	20473391	Absent
g4444.t1	chr12	18501310	18536689	Absent
g10904.t1	chr19	16967611	16979608	Present
