ChrGa	Start	End	GeneGa	GeneGw	ChrGw	Start	End	NCBI_gene	Ensemble_ID	Ensemble_Human_ID	HIindex	Strata Group
NC_053223.1	4425844	4430090	rna-XM_040193689.1	g3980.t1	chr12	6310266	6315944	120829523	ENSGACG00000012521	ENSG00000162877	0.048295415	S5	2n
NC_053223.1	4706731	4733862	rna-XM_040192664.1	g3990.t1	chr12	6384147	6628358	120828963	ENSGACG00000034724	ENSG00000171735	0.951338773	S5	1n-2n
NC_053223.1	4733944	4735319	rna-XM_040192668.1	g3991.t1	chr12	6633930	6634907	120828964	ENSGACG00000027991	ENSG00000049247	0.010391228	S5	2n
NC_053223.1	4756033	4775434	rna-XM_040193008.1	g3994.t2	chr12	6657117	6675828	120829147	ENSGACG00000012365	ENSG00000107404	0.502065644	S5	2n
NC_053223.1	4784870	4786516	rna-XM_040194249.1	g3996.t1	chr12	6685334	6686302	120829798	ENSGACG00000012359	ENSG00000175756	0.01477623	S5	2n
NC_053223.1	4851076	4853859	rna-XM_040192379.1	g4000.t1	chr12	6753004	6755717	120828788	ENSGACG00000031708	ENSG00000169188	0.037237497	S5	2n
NC_053223.1	4854432	4862323	rna-XM_040192386.1	g4001.t1	chr12	6759862	6764238	120828790	ENSGACG00000012263	ENSG00000017483	0.062280522	S5	2n
NC_053223.1	4904142	4909933	rna-XM_040192380.1	g4007.t1	chr12	6808230	6815278	120828789	ENSGACG00000012202	ENSG00000101940	0.212864463	S5	2n
NC_053223.1	5020847	5026739	rna-XM_040192321.1	g4016.t1	chr12	6929342	6935907	120828760	ENSGACG00000012127	ENSG00000068394	0.032912204	S5	2n
NC_053223.1	5025831	5029359	rna-XM_040192323.1	g4017.t1	chr12	6936312	6937917	120828761	ENSGACG00000012123	ENSG00000102103	0.1792409	S5	2n
NC_053223.1	5061960	5067843	rna-XM_040192355.1	g4020.t1	chr12	6973635	6978489	120828780	ENSGACG00000012087	ENSG00000012211	0.03183187	S5	2n
NC_053223.1	5068940	5084607	rna-XM_040192332.1	g4021.t2	chr12	6985575	6995382	120828765	ENSGACG00000012087	ENSG00000012211	0.03183187	S5	1n-2n
