X_GENE_ID	CHROM	X_POS	ANC
GwA_30381-RA	chr19	14994298	TRUE
GwA_29789-RA	chr19	4888042	TRUE
GwA_20292-RA	chr12	15593390	FALSE
GwA_30169-RA	chr19	11972000	TRUE
GwA_19565-RA	chr12	5655041	FALSE
GwA_19229-RA	chr12	612178	FALSE
GwA_19366-RA	chr12	2863145	FALSE
GwA_30452-RA	chr19	16111645	TRUE
GwA_30386-RA	chr19	15095422	TRUE
GwA_19382-RA	chr12	3047685	FALSE
GwA_19243-RA	chr12	760933	FALSE
GwA_19246-RA	chr12	784349	FALSE
GwA_30829-RA	chr19	20152275	TRUE
GwA_20717-RA	chr12	16572831	FALSE
GwA_30167-RA	chr19	11850682	TRUE
GwA_30544-RA	chr19	17173800	TRUE
GwA_30662-RA	chr19	18486535	TRUE
GwA_30661-RA	chr19	18485348	TRUE
GwA_30016-RA	chr19	9706458	TRUE
GwA_30763-RA	chr19	19390997	TRUE
GwA_19841-RA	chr12	9281220	FALSE
GwA_29946-RA	chr19	8219396	TRUE
GwA_19911-RA	chr12	10471581	FALSE
GwA_30615-RA	chr19	17991455	TRUE
GwA_30275-RA	chr19	13508217	TRUE
GwA_19541-RA	chr12	5221482	FALSE
GwA_19546-RA	chr12	5335194	FALSE
GwA_19985-RA	chr12	11510559	FALSE
GwA_29902-RA	chr19	7529174	TRUE
GwA_29905-RA	chr19	7543585	TRUE
GwA_29904-RA	chr19	7542750	TRUE
GwA_29635-RA	chr19	834725	TRUE
GwA_19392-RA	chr12	3122173	FALSE
GwA_30431-RA	chr19	15893972	TRUE
GwA_19442-RA	chr12	3740318	FALSE
GwA_30446-RA	chr19	16052530	TRUE
GwA_21236-RA	chr12	21859062	FALSE
GwA_20724-RA	chr12	16720018	FALSE
GwA_19200-RA	chr12	183305	FALSE
GwA_19199-RA	chr12	164566	FALSE
GwA_21091-RA	chr12	20733642	FALSE
GwA_30353-RA	chr19	14601340	TRUE
GwA_30719-RA	chr19	18968399	TRUE
GwA_29982-RA	chr19	8780875	TRUE
GwA_19396-RA	chr12	3149068	FALSE
GwA_29713-RA	chr19	2624296	TRUE
GwA_19277-RA	chr12	1343524	FALSE
GwA_30159-RA	chr19	11796070	TRUE
GwA_30163-RA	chr19	11807813	TRUE
GwA_30162-RA	chr19	11804514	TRUE
GwA_30158-RA	chr19	11784959	FALSE
GwA_30156-RA	chr19	11778007	FALSE
GwA_30251-RA	chr19	13278039	TRUE
GwA_29801-RA	chr19	5401225	TRUE
GwA_29923-RA	chr19	7891528	TRUE
GwA_29991-RA	chr19	8982703	TRUE
GwA_30059-RA	chr19	10440866	TRUE
GwA_29844-RA	chr19	6100780	TRUE
GwA_29842-RA	chr19	6096074	TRUE
GwA_29843-RA	chr19	6099913	TRUE
GwA_30944-RA	chr19	22525723	TRUE
GwA_19478-RA	chr12	4506287	FALSE
GwA_19385-RA	chr12	3084876	FALSE
GwA_30203-RA	chr19	12320213	TRUE
GwA_30499-RA	chr19	16781014	TRUE
GwA_29626-RA	chr19	356359	TRUE
GwA_29627-RA	chr19	386813	TRUE
GwA_20747-RA	chr12	17012117	FALSE
GwA_29892-RA	chr19	7130208	TRUE
GwA_30406-RA	chr19	15492972	TRUE
GwA_30213-RA	chr19	12428408	TRUE
GwA_20282-RA	chr12	15490560	FALSE
GwA_29869-RA	chr19	6833570	TRUE
GwA_29868-RA	chr19	6825883	TRUE
GwA_29950-RA	chr19	8269137	TRUE
GwA_29632-RA	chr19	689823	TRUE
GwA_30900-RA	chr19	21287107	TRUE
GwA_29814-RA	chr19	5657552	FALSE
GwA_30419-RA	chr19	15737324	FALSE
GwA_19299-RA	chr12	1656987	FALSE
GwA_19256-RA	chr12	984636	FALSE
GwA_30312-RA	chr19	14170415	TRUE
GwA_19304-RA	chr12	1750699	FALSE
GwA_30810-RA	chr19	19948632	TRUE
GwA_30137-RA	chr19	11403771	TRUE
GwA_30136-RA	chr19	11399611	TRUE
GwA_30183-RA	chr19	12115756	TRUE
GwA_30295-RA	chr19	13983703	TRUE
GwA_19454-RA	chr12	3826006	FALSE
GwA_29888-RA	chr19	7057985	TRUE
GwA_19455-RA	chr12	3832294	FALSE
GwA_30209-RA	chr19	12371580	TRUE
GwA_30208-RA	chr19	12358623	TRUE
GwA_30252-RA	chr19	13287382	TRUE
GwA_30769-RA	chr19	19528316	TRUE
GwA_20079-RA	chr12	12507759	FALSE
GwA_30077-RA	chr19	10620865	TRUE
GwA_30189-RA	chr19	12181775	TRUE
GwA_20737-RA	chr12	16875998	FALSE
GwA_30908-RA	chr19	21440702	TRUE
GwA_30811-RA	chr19	19970573	TRUE
GwA_30046-RA	chr19	10301715	TRUE
GwA_30071-RA	chr19	10559056	TRUE
GwA_30072-RA	chr19	10576254	TRUE
GwA_19539-RA	chr12	5195552	FALSE
GwA_30229-RA	chr19	12975366	TRUE
GwA_30233-RA	chr19	12983418	TRUE
GwA_19359-RA	chr12	2734426	FALSE
GwA_19585-RA	chr12	5907493	FALSE
GwA_19584-RA	chr12	5894404	FALSE
GwA_19457-RA	chr12	3868360	FALSE
GwA_29890-RA	chr19	7096947	TRUE
GwA_19259-RA	chr12	1032221	FALSE
GwA_30052-RA	chr19	10345351	TRUE
GwA_30894-RA	chr19	21224607	TRUE
GwA_19491-RA	chr12	4665019	FALSE
GwA_19224-RA	chr12	533788	FALSE
GwA_19393-RA	chr12	3131205	FALSE
GwA_29937-RA	chr19	8040726	TRUE
GwA_30184-RA	chr19	12123408	TRUE
GwA_30267-RA	chr19	13471418	TRUE
GwA_30266-RA	chr19	13468183	TRUE
GwA_19231-RA	chr12	640452	FALSE
GwA_30921-RA	chr19	21694665	TRUE
GwA_30311-RA	chr19	14130872	TRUE
GwA_29878-RA	chr19	7000707	TRUE
GwA_30742-RA	chr19	19136616	TRUE
GwA_29922-RA	chr19	7884220	TRUE
GwA_29912-RA	chr19	7631859	TRUE
GwA_30694-RA	chr19	18771375	TRUE
GwA_30688-RA	chr19	18756943	TRUE
GwA_30428-RA	chr19	15877953	TRUE
GwA_30030-RA	chr19	10032583	TRUE
GwA_19285-RA	chr12	1462732	FALSE
GwA_19468-RA	chr12	4015622	FALSE
GwA_19632-RA	chr12	6776394	FALSE
GwA_19348-RA	chr12	2618532	FALSE
GwA_30033-RA	chr19	10046901	TRUE
GwA_30100-RA	chr19	10831970	TRUE
GwA_30102-RA	chr19	10840962	FALSE
GwA_29972-RA	chr19	8535894	TRUE
GwA_19525-RA	chr12	5066225	FALSE
GwA_29730-RA	chr19	3095154	TRUE
GwA_19829-RA	chr12	9153287	FALSE
GwA_19532-RA	chr12	5138331	FALSE
GwA_19530-RA	chr12	5108847	FALSE
GwA_19493-RA	chr12	4695483	FALSE
GwA_30860-RA	chr19	20724228	TRUE
GwA_19591-RA	chr12	5969738	FALSE
GwA_30780-RA	chr19	19739174	TRUE
GwA_30170-RA	chr19	11997683	TRUE
GwA_19292-RA	chr12	1535070	FALSE
GwA_19293-RA	chr12	1540426	FALSE
GwA_19420-RA	chr12	3486817	FALSE
GwA_29699-RA	chr19	2411021	TRUE
GwA_30084-RA	chr19	10727045	TRUE
GwA_29994-RA	chr19	9124231	TRUE
GwA_30825-RA	chr19	20100342	TRUE
GwA_30063-RA	chr19	10489023	TRUE
GwA_30061-RA	chr19	10481781	TRUE
GwA_30501-RA	chr19	16807250	TRUE
GwA_30729-RA	chr19	19026376	TRUE
GwA_30078-RA	chr19	10631277	TRUE
GwA_30577-RA	chr19	17535952	TRUE
GwA_30838-RA	chr19	20232180	TRUE
GwA_29646-RA	chr19	1144532	TRUE
GwA_29669-RA	chr19	1402685	TRUE
GwA_19316-RA	chr12	1937316	FALSE
GwA_19494-RA	chr12	4699784	FALSE
GwA_30408-RA	chr19	15537368	TRUE
GwA_19399-RA	chr12	3189261	FALSE
GwA_30107-RA	chr19	10901800	TRUE
GwA_29935-RA	chr19	7994162	TRUE
GwA_19276-RA	chr12	1339038	FALSE
GwA_19275-RA	chr12	1330989	FALSE
GwA_19273-RA	chr12	1317636	FALSE
GwA_30026-RA	chr19	10007855	TRUE
GwA_30899-RA	chr19	21275562	TRUE
GwA_30279-RA	chr19	13548476	FALSE
GwA_30708-RA	chr19	18842572	TRUE
GwA_30255-RA	chr19	13338156	TRUE
GwA_30199-RA	chr19	12279305	FALSE
GwA_30201-RA	chr19	12288567	FALSE
GwA_30548-RA	chr19	17211588	TRUE
GwA_30530-RA	chr19	17060341	TRUE
GwA_30916-RA	chr19	21630805	FALSE
GwA_29763-RA	chr19	3918597	TRUE
GwA_30583-RA	chr19	17596882	TRUE
GwA_30210-RA	chr19	12374567	TRUE
GwA_30592-RA	chr19	17654172	TRUE
GwA_19463-RA	chr12	3966202	FALSE
GwA_30522-RA	chr19	17009836	TRUE
GwA_30523-RA	chr19	17016913	TRUE
GwA_30721-RA	chr19	18988861	TRUE
GwA_30631-RA	chr19	18123177	TRUE
GwA_29686-RA	chr19	1910935	TRUE
GwA_30665-RA	chr19	18516449	TRUE
GwA_29754-RA	chr19	3692363	TRUE
GwA_30300-RA	chr19	14008283	TRUE
GwA_29983-RA	chr19	8806644	TRUE
GwA_29828-RA	chr19	5933349	TRUE
GwA_29791-RA	chr19	4951224	TRUE
GwA_19496-RA	chr12	4733033	FALSE
GwA_29867-RA	chr19	6779455	TRUE
GwA_19649-RA	chr12	6937624	FALSE
GwA_19333-RA	chr12	2342939	FALSE
GwA_21258-RA	chr12	22027398	FALSE
GwA_29746-RA	chr19	3433973	TRUE
GwA_20167-RA	chr12	13654570	FALSE
GwA_20144-RA	chr12	13192389	FALSE
GwA_20143-RA	chr12	13177689	FALSE
GwA_20145-RA	chr12	13204441	FALSE
GwA_19281-RA	chr12	1387929	FALSE
GwA_19283-RA	chr12	1396763	FALSE
GwA_19631-RA	chr12	6767614	FALSE
GwA_19306-RA	chr12	1827177	FALSE
GwA_19305-RA	chr12	1808584	FALSE
GwA_19307-RA	chr12	1833327	FALSE
GwA_30773-RA	chr19	19659869	FALSE
GwA_30442-RA	chr19	15966712	TRUE
GwA_29956-RA	chr19	8300095	TRUE
GwA_30047-RA	chr19	10310749	TRUE
GwA_30093-RA	chr19	10776634	TRUE
