HOG	OG	Gene Tree Parent Clade	Af	Aq	Ga	GaY	Gw	GwY
N0.HOG0000000	OG0000000	n1	jg8247.t1	ApeQuad04059-RA	rna-XM_040185756.1		GwA_15278-RA	
N0.HOG0000001	OG0000000	n5	jg15464.t1	ApeQuad16183-RA	rna-XM_040191318.1		GwA_19068-RA	
N0.HOG0000002	OG0000000	n12	jg8503.t1	ApeQuad03687-RA	rna-XM_040186393.1		GwA_15011-RA	
N0.HOG0000003	OG0000000	n15	jg16358.t1	ApeQuad15438-RA	rna-XM_040190922.1		GwA_17911-RA	
N0.HOG0000004	OG0000000	n18	jg18845.t1, jg18844.t1	ApeQuad09041-RA	rna-XM_040166118.1		GwA_31581-RA	
N0.HOG0000005	OG0000000	n23	jg8509.t1		rna-XM_040186398.1		GwA_15001-RA	
N0.HOG0000006	OG0000000	n25	jg16463.t1	ApeQuad15365-RA	rna-XM_040189907.1		GwA_17776-RA	
N0.HOG0000007	OG0000000	n30	jg6993.t1, jg6994.t1, jg6995.t1		rna-XM_040194111.1			
N0.HOG0000008	OG0000000	n37	jg31400.t1, jg31399.t1		rna-XM_040167206.1		GwA_32698-RA	
N0.HOG0000009	OG0000000	n41	jg28119.t1		rna-XM_040172106.1			
N0.HOG0000010	OG0000000	n42	jg28120.t1		rna-XM_040172107.1			
N0.HOG0000011	OG0000000	n45	jg15384.t1, jg15385.t1					
N0.HOG0000012	OG0000000	n48	jg6452.t1, jg28476.t1, jg28473.t1, jg28475.t2, jg28475.t1		rna-XM_040162808.1	rna-XM_040168003.1		
N0.HOG0000013	OG0000000	n54	jg28472.t1, jg28471.t1		rna-XM_040163228.1			
N0.HOG0000014	OG0000000	n58	jg16054.t1, jg16055.t1		rna-XM_040189834.1			
N0.HOG0000015	OG0000000	n60	jg16056.t1, jg16057.t1		rna-XM_040189835.1			
N0.HOG0000016	OG0000000	n63	jg6455.t1		rna-XM_040205041.1			
N0.HOG0000017	OG0000000	n64	jg6454.t1, jg6450.t1		rna-XM_040205043.1			
N0.HOG0000018	OG0000000	n66	jg15383.t1, jg15386.t1		rna-XM_040191001.1			
N0.HOG0000019	OG0000001	n1	jg32828.t1	ApeQuad07344-RA	rna-XM_040193377.1		GwA_20099-RA	GwY_00599-RA
N0.HOG0000020	OG0000001	n7	jg6778.t1	ApeQuad04815-RA	rna-XM_040203916.1			
N0.HOG0000021	OG0000001	n12	jg32400.t1	ApeQuad07738-RA	rna-XM_040193854.1		GwA_21092-RA	GwY_00052-RA
N0.HOG0000022	OG0000001	n16	jg7196.t1	ApeQuad05080-RA, ApeQuad05081-RA	rna-XM_040202797.1		GwA_28279-RA, GwA_28280-RA	
N0.HOG0000023	OG0000001	n23	jg26060.t1	ApeQuad20536-RA			GwA_06438-RA	
N0.HOG0000024	OG0000001	n25	jg26062.t1	ApeQuad20537-RA	rna-XM_040174498.1			
N0.HOG0000025	OG0000001	n27	jg29496.t1	ApeQuad06564-RA	rna-XM_040163352.1		GwA_30381-RA	
N0.HOG0000026	OG0000001	n33	jg20307.t1	ApeQuad16767-RA	rna-XM_040188509.1		GwA_16937-RA	
N0.HOG0000027	OG0000001	n36	jg19520.t1	ApeQuad08677-RA	rna-XM_040165138.1		GwA_30947-RA	
N0.HOG0000028	OG0000001	n39	jg4634.t1	ApeQuad01831-RA	rna-XM_040160346.1		GwA_02728-RA	
N0.HOG0000029	OG0000001	n43	jg28470.t1	ApeQuad05798-RA	rna-XM_040162594.1	rna-XM_040168421.1	GwA_29789-RA	
N0.HOG0000030	OG0000001	n48	jg5976.t1	ApeQuad05460-RA	rna-XM_040203231.1		GwA_26992-RA	
N0.HOG0000031	OG0000001	n53	jg31348.t1		rna-XM_040166593.1		GwA_32631-RA	
N0.HOG0000032	OG0000001	n56	jg31349.t1		rna-XM_040167096.1		GwA_32632-RA	
