X_GENE_ID	CHROM	X_POS	ANC
rna-XM_040163228.1	chrXIX	2639150	FALSE
rna-XM_040163352.1	chrXIX	13404376	TRUE
rna-XM_040163338.1	chrXIX	2401708	FALSE
rna-XM_040161674.1	chrXIX	482937	FALSE
rna-XM_040161676.1	chrXIX	644736	FALSE
rna-XM_040161677.1	chrXIX	398385	FALSE
rna-XM_040162656.1	chrXIX	2508373	FALSE
rna-XM_040163880.1	chrXIX	14483089	TRUE
rna-XM_040163917.1	chrXIX	4530494	FALSE
rna-XM_040162816.1	chrXIX	4735473	FALSE
rna-XM_040162801.1	chrXIX	2450076	FALSE
rna-XM_040161661.1	chrXIX	480939	FALSE
rna-XM_040162692.1	chrXIX	13509603	TRUE
rna-XM_040163585.1	chrXIX	19774615	FALSE
rna-XM_040161804.1	chrXIX	18362405	TRUE
rna-XM_040162471.1	chrXIX	15426034	TRUE
rna-XM_040162275.1	chrXIX	14856988	FALSE
rna-XM_040163883.1	chrXIX	14476411	FALSE
rna-XM_040162276.1	chrXIX	14841052	FALSE
rna-XM_040164067.1	chrXIX	14270626	FALSE
rna-XM_040163595.1	chrXIX	14998870	FALSE
rna-XM_040162848.1	chrXIX	14415273	FALSE
rna-XM_040163657.1	chrXIX	14583072	FALSE
rna-XM_040163887.1	chrXIX	14426708	FALSE
rna-XM_040163659.1	chrXIX	14596950	FALSE
rna-XM_040163886.1	chrXIX	14420112	FALSE
rna-XM_040163317.1	chrXIX	17613277	TRUE
rna-XM_040162349.1	chrXIX	16222295	TRUE
rna-XM_040162596.1	chrXIX	3896412	TRUE
rna-XM_040161578.1	chrXIX	16730556	FALSE
rna-XM_040164061.1	chrXIX	14288114	TRUE
rna-XM_040162878.1	chrXIX	13038152	TRUE
rna-XM_040161762.1	chrXIX	17180960	TRUE
rna-XM_040162040.1	chrXIX	8702390	TRUE
rna-XM_040162042.1	chrXIX	8698971	TRUE
rna-XM_040162043.1	chrXIX	8692478	TRUE
rna-XM_040162942.1	chrXIX	811623	TRUE
rna-XM_040162337.1	chrXIX	969313	TRUE
rna-XM_040163457.1	chrXIX	2102484	TRUE
rna-XM_040162340.1	chrXIX	10780197	TRUE
rna-XM_040161766.1	chrXIX	17109586	FALSE
