"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","gaculeatus_paralog_chromosome","gaculeatus_paralog_chrom_start","gaculeatus_paralog_chrom_end","hsapiens_homolog_ensembl_gene","hsapiens_homolog_chromosome","hsapiens_homolog_chrom_start","hsapiens_homolog_chrom_end","hsapiens_homolog_associated_gene_name","hsapiens_homolog_orthology_type","hsapiens_homolog_perc_id_r1"
"1","ENSGACG00000035159","pex11a","XIX",11730314,11734299,"X",585484,587866,"ENSG00000166821","15",89677764,89690783,"PEX11A","ortholog_one2one",46.1538
"2","ENSGACG00000010077","nt5dc3","XIX",12647313,12654879,"XII",4829117,4836537,"ENSG00000111696","12",103770453,103841234,"NT5DC3","ortholog_one2one",61.1314
"3","ENSGACG00000010077","nt5dc3","XIX",12647313,12654879,"XVIII",3315613,3357211,"ENSG00000111696","12",103770453,103841234,"NT5DC3","ortholog_one2one",61.1314
"4","ENSGACG00000010077","nt5dc3","XIX",12647313,12654879,"IX",11451428,11475649,"ENSG00000111696","12",103770453,103841234,"NT5DC3","ortholog_one2one",61.1314
"5","ENSGACG00000010077","nt5dc3","XIX",12647313,12654879,"VI",1012326,1021453,"ENSG00000111696","12",103770453,103841234,"NT5DC3","ortholog_one2one",61.1314
"6","ENSGACG00000010077","nt5dc3","XIX",12647313,12654879,"XIV",7439584,7447064,"ENSG00000111696","12",103770453,103841234,"NT5DC3","ortholog_one2one",61.1314
"7","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XVII",9710648,9725638,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"8","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XVII",15437269,15449264,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"9","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"X",4248010,4253433,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"10","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XIX",11743922,11750276,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"11","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XX",830401,836838,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"12","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"X",678783,685627,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"13","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"II",15941654,15945070,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"14","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"II",5521807,5526596,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"15","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"VI",9351679,9364092,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"16","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XIII",15992799,16004829,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"17","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XIV",2091123,2093982,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"18","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"IX",17898350,17902028,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"19","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XIII",19064932,19086149,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"20","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"V",10139660,10146734,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"21","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"I",26939944,26958966,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"22","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"VII",3733941,3738511,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"23","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XVI",8115329,8127696,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"24","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XVII",9381348,9388874,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"25","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"IV",27773394,27775132,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"26","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"IV",33424413,33427396,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"27","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XVII",9967919,9971296,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"28","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XIX",19838053,19842287,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"29","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XII",7403823,7410185,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"30","ENSGACG00000026136","gpr22b","XIX",12707367,12713590,"XII",10121804,10133424,"ENSG00000172209","7",107470018,107475684,"GPR22","ortholog_one2one",74.8268
"31","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"IV",6038957,6042874,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"32","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"I",29314254,29327822,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"33","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"XVI",1520838,1587757,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"34","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"XVII",17730764,17739542,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"35","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"XVII",5786974,5824940,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"36","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"XXI",14397188,14475158,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"37","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"XI",10710980,10730356,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"38","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"XIV",6479518,6493168,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"39","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"XXI",12518859,12525554,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"40","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"VI",1402962,1405895,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"41","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"XVI",2863178,2866898,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"42","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"IV",6027501,6080143,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"43","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"XXI",12514197,12519228,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"44","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"XVI",2871507,2875122,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"45","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"VIII",16583589,16641885,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"46","ENSGACG00000010024","AEBP2","XIX",12821349,12836813,"III",16167223,16181342,"ENSG00000139154","12",19404045,19720801,"AEBP2","ortholog_one2one",51.0934
"47","ENSGACG00000010007","PLCZ1","XIX",12908776,12919023,"XI",6528235,6577653,"ENSG00000139151","12",18683169,18738100,"PLCZ1","ortholog_one2one",39.4737
